FBgn0000003	19
FBgn0000008	855
FBgn0000014	958
FBgn0000015	1119
FBgn0000017	2576
FBgn0000018	543
FBgn0000022	0
FBgn0000024	4413
FBgn0000028	350
FBgn0000032	1041
FBgn0000036	984
FBgn0000037	623
FBgn0000038	3129
FBgn0000039	382
FBgn0000042	45438
FBgn0000043	7695
FBgn0000044	44516
FBgn0000045	112640
FBgn0000046	24143
FBgn0000047	54435
FBgn0000052	4774
FBgn0000053	4633
FBgn0000055	456
FBgn0000056	0
FBgn0000057	2408
FBgn0000061	44
FBgn0000063	241
FBgn0000064	193214
FBgn0000071	13
FBgn0000075	208
FBgn0000077	310
FBgn0000078	18209
FBgn0000079	58798
FBgn0000083	11338
FBgn0000084	2850
FBgn0000092	92
FBgn0000094	11879
FBgn0000097	1786
FBgn0000100	36396
FBgn0000108	8487
FBgn0000109	530
FBgn0000114	19702
FBgn0000115	1238
FBgn0000116	173009
FBgn0000117	8204
FBgn0000119	1733
FBgn0000120	25085
FBgn0000121	27538
FBgn0000137	1
FBgn0000139	900
FBgn0000140	1157
FBgn0000146	259
FBgn0000147	845
FBgn0000150	13912
FBgn0000152	280
FBgn0000153	6357
FBgn0000157	620
FBgn0000158	51
FBgn0000163	3600
FBgn0000166	23
FBgn0000173	4747
FBgn0000179	475
FBgn0000180	203
FBgn0000181	17943
FBgn0000182	22
FBgn0000183	3679
FBgn0000206	1415
FBgn0000212	2481
FBgn0000216	0
FBgn0000221	256
FBgn0000227	0
FBgn0000228	1985
FBgn0000229	1705
FBgn0000233	73
FBgn0000239	3949
FBgn0000241	325
FBgn0000244	5299
FBgn0000246	169
FBgn0000247	3044
FBgn0000250	5276
FBgn0000251	2096
FBgn0000253	43525
FBgn0000256	11517
FBgn0000257	879
FBgn0000259	3758
FBgn0000261	55528
FBgn0000273	10375
FBgn0000274	1851
FBgn0000276	994
FBgn0000277	55
FBgn0000278	2
FBgn0000279	7
FBgn0000280	0
FBgn0000281	0
FBgn0000283	2351
FBgn0000286	3764
FBgn0000287	1324
FBgn0000289	4307
FBgn0000299	20123
FBgn0000303	1023
FBgn0000307	1813
FBgn0000308	11703
FBgn0000316	913
FBgn0000317	2576
FBgn0000318	3258
FBgn0000319	16805
FBgn0000320	995
FBgn0000326	980
FBgn0000330	734
FBgn0000337	1
FBgn0000339	1744
FBgn0000346	4106
FBgn0000351	35
FBgn0000352	714
FBgn0000355	95
FBgn0000356	1
FBgn0000357	45
FBgn0000358	1
FBgn0000359	0
FBgn0000360	1
FBgn0000370	7894
FBgn0000376	563
FBgn0000377	721
FBgn0000382	6254
FBgn0000384	660
FBgn0000392	0
FBgn0000394	801
FBgn0000395	1052
FBgn0000404	1082
FBgn0000405	2010
FBgn0000406	24790
FBgn0000411	392
FBgn0000412	4163
FBgn0000414	3411
FBgn0000416	47539
FBgn0000422	3526
FBgn0000426	264
FBgn0000427	22
FBgn0000439	168
FBgn0000442	49
FBgn0000447	3858
FBgn0000448	217
FBgn0000449	3
FBgn0000451	368
FBgn0000454	8425
FBgn0000455	2646
FBgn0000459	448
FBgn0000463	604
FBgn0000464	157
FBgn0000473	6953
FBgn0000477	2198
FBgn0000479	9737
FBgn0000482	832
FBgn0000489	6527
FBgn0000490	937
FBgn0000492	919
FBgn0000499	2390
FBgn0000500	220
FBgn0000504	5328
FBgn0000520	379
FBgn0000524	524
FBgn0000527	2058
FBgn0000529	54
FBgn0000533	518
FBgn0000535	1079
FBgn0000536	7194
FBgn0000541	5955
FBgn0000542	479
FBgn0000543	1099
FBgn0000546	1348
FBgn0000547	3178
FBgn0000551	13
FBgn0000552	2
FBgn0000557	13811
FBgn0000559	128431
FBgn0000560	130
FBgn0000562	3888
FBgn0000564	1
FBgn0000565	4140
FBgn0000566	2012
FBgn0000567	1304
FBgn0000568	5501
FBgn0000575	3870
FBgn0000576	108
FBgn0000577	349
FBgn0000578	1492
FBgn0000579	101569
FBgn0000581	4242
FBgn0000588	255
FBgn0000591	0
FBgn0000592	73237
FBgn0000594	0
FBgn0000606	4
FBgn0000611	4181
FBgn0000615	36961
FBgn0000617	463
FBgn0000618	227
FBgn0000625	271
FBgn0000629	1009
FBgn0000633	797
FBgn0000635	4720
FBgn0000636	2165
FBgn0000639	155
FBgn0000640	57
FBgn0000644	27
FBgn0000658	206
FBgn0000659	1814
FBgn0000662	2041
FBgn0000667	30750
FBgn0000709	1373
FBgn0000711	3721
FBgn0000715	218
FBgn0000719	1205
FBgn0000721	9602
FBgn0000723	3806
FBgn0000808	21
FBgn0000810	653
FBgn0000826	36
FBgn0000927	45
FBgn0000928	141
FBgn0000964	127
FBgn0000996	418
